ET_ID,CVE_MUNICIPIO,total_sv_feb,total_sv_mar,total_sv_abr,total_sv_may,total_sv_ju,total_sv_jul,total_sv_ago,total_sv_sep,total_sv_oct,total_sv_nov,total_sv_dic,total_sv_total,total_sv19_total,total_sv_total,total1920,19mdp,20mdp,1920mdp
17006,17006,NA,NA,NA,40000,55000,60000,60000,60000,60000,60000,95000,490000,,490000,490000,,490,490
29050,29050,NA,NA,NA,45000,65000,65000,65000,65000,65000,65000,70000,505000,,505000,505000,,505,505
20341,20341,NA,NA,NA,45000,70000,70000,70000,70000,70000,70000,70000,535000,,535000,535000,,535,535
20465,20465,NA,NA,NA,NA,NA,NA,NA,150000,150000,120000,120000,540000,,540000,540000,,540,540
20518,20518,NA,NA,NA,65000,75000,75000,75000,70000,70000,70000,70000,570000,,570000,570000,,570,570
21030,21030,NA,NA,NA,75000,75000,75000,75000,75000,75000,75000,75000,600000,,600000,600000,,600,600
20047,20047,NA,NA,NA,NA,90000,90000,90000,85000,85000,85000,85000,610000,,610000,610000,,610,610
28019,28019,NA,NA,NA,NA,NA,NA,NA,165000,165000,165000,165000,660000,,660000,660000,,660,660
20215,20215,NA,NA,NA,NA,45000,145000,95000,95000,95000,95000,95000,665000,,665000,665000,,665,665
21162,21162,NA,NA,NA,70000,85000,85000,85000,85000,85000,85000,85000,665000,,665000,665000,,665,665
32042,32042,NA,NA,NA,95000,95000,95000,95000,95000,95000,95000,10000,675000,,675000,675000,,675,675
29015,29015,NA,NA,NA,100000,100000,100000,100000,100000,100000,100000,NA,700000,,700000,700000,,700,700
21080,21080,65000,65000,60000,65000,60000,65000,65000,65000,65000,65000,65000,705000,650000,705000,1355000,650,705,1355
29017,29017,NA,NA,NA,80000,80000,100000,90000,90000,90000,90000,90000,710000,,710000,710000,,710,710
21174,21174,15000,15000,45000,65000,190000,60000,60000,60000,60000,60000,120000,750000,1020000,750000,1770000,1020,750,1770
20281,20281,NA,NA,NA,85000,95000,95000,95000,95000,95000,95000,95000,750000,,750000,750000,,750,750
31105,31105,NA,NA,NA,90000,100000,100000,100000,95000,95000,95000,90000,765000,,765000,765000,,765,765
12012,12012,NA,NA,NA,95000,100000,100000,100000,100000,100000,100000,100000,795000,,795000,795000,,795,795
20140,20140,NA,NA,NA,40000,55000,180000,115000,115000,115000,115000,120000,855000,,855000,855000,,855,855
20523,20523,NA,NA,NA,NA,NA,205000,130000,130000,130000,130000,130000,855000,,855000,855000,,855,855
17027,17027,NA,NA,NA,25000,125000,125000,125000,125000,125000,125000,125000,900000,,900000,900000,,900,900
21048,21048,NA,NA,NA,70000,120000,120000,120000,120000,120000,120000,120000,910000,,910000,910000,,910,910
20195,20195,NA,NA,NA,NA,110000,160000,135000,135000,135000,135000,135000,945000,,945000,945000,,945,945
31016,31016,NA,NA,NA,125000,125000,125000,125000,125000,125000,125000,125000,1000000,,1000000,1000000,,1000,1000
21181,21181,NA,NA,NA,NA,140000,150000,140000,145000,145000,145000,150000,1015000,,1015000,1015000,,1015,1015
16082,16082,NA,NA,NA,110000,130000,130000,130000,130000,130000,130000,135000,1025000,,1025000,1025000,,1025,1025
20541,20541,NA,NA,NA,115000,115000,115000,115000,120000,120000,165000,165000,1030000,,1030000,1030000,,1030,1030
31004,31004,NA,NA,NA,100000,130000,140000,135000,135000,135000,135000,135000,1045000,,1045000,1045000,,1045,1045
20286,20286,NA,NA,NA,NA,150000,150000,150000,150000,150000,150000,150000,1050000,,1050000,1050000,,1050,1050
21148,21148,NA,NA,NA,NA,155000,150000,145000,155000,155000,155000,145000,1060000,,1060000,1060000,,1060,1060
28036,28036,NA,NA,NA,NA,120000,155000,160000,160000,160000,160000,160000,1075000,,1075000,1075000,,1075,1075
29028,29028,NA,NA,NA,80000,120000,170000,140000,140000,140000,145000,145000,1080000,,1080000,1080000,,1080,1080
31088,31088,NA,NA,NA,135000,135000,135000,135000,135000,135000,135000,135000,1080000,,1080000,1080000,,1080,1080
31026,31026,NA,NA,NA,105000,145000,145000,145000,140000,140000,140000,140000,1100000,,1100000,1100000,,1100,1100
21028,21028,10000,10000,10000,125000,130000,145000,145000,145000,145000,145000,135000,1145000,,1145000,1145000,,1145,1145
21102,21102,NA,NA,NA,140000,140000,140000,140000,140000,140000,140000,165000,1145000,,1145000,1145000,,1145,1145
31038,31038,NA,NA,NA,135000,145000,145000,145000,145000,145000,145000,145000,1150000,,1150000,1150000,,1150,1150
20303,20303,NA,NA,NA,145000,145000,145000,145000,145000,145000,145000,145000,1160000,,1160000,1160000,,1160,1160
20440,20440,NA,NA,NA,130000,130000,155000,155000,155000,155000,140000,140000,1160000,,1160000,1160000,,1160,1160
21039,21039,NA,NA,NA,145000,145000,145000,145000,145000,145000,145000,145000,1160000,,1160000,1160000,,1160,1160
31101,31101,NA,NA,NA,145000,145000,145000,145000,145000,145000,145000,145000,1160000,,1160000,1160000,,1160,1160
20164,20164,NA,NA,NA,NA,115000,205000,165000,165000,165000,175000,175000,1165000,,1165000,1165000,,1165,1165
20423,20423,NA,NA,NA,NA,165000,175000,170000,170000,170000,165000,165000,1180000,,1180000,1180000,,1180,1180
20230,20230,NA,NA,NA,NA,125000,225000,170000,170000,170000,175000,155000,1190000,,1190000,1190000,,1190,1190
20256,20256,NA,NA,NA,NA,165000,175000,170000,170000,170000,170000,170000,1190000,,1190000,1190000,,1190,1190
30005,30005,110000,110000,105000,105000,110000,110000,110000,110000,110000,110000,110000,1200000,1050000,1200000,2250000,1050,1200,2250
20471,20471,NA,NA,NA,150000,150000,150000,150000,150000,150000,150000,150000,1200000,,1200000,1200000,,1200,1200
21026,21026,NA,NA,NA,5000,180000,180000,180000,180000,180000,180000,175000,1260000,,1260000,1260000,,1260,1260
21146,21146,NA,NA,NA,135000,150000,180000,160000,165000,165000,165000,165000,1285000,,1285000,1285000,,1285,1285
31042,31042,NA,NA,NA,NA,175000,195000,185000,185000,185000,185000,185000,1295000,,1295000,1295000,,1295,1295
20196,20196,NA,NA,NA,NA,NA,275000,210000,215000,215000,210000,210000,1335000,,1335000,1335000,,1335,1335
20492,20492,NA,NA,NA,95000,155000,155000,155000,245000,245000,150000,150000,1350000,,1350000,1350000,,1350,1350
20110,20110,NA,NA,NA,NA,185000,195000,195000,195000,195000,195000,195000,1355000,,1355000,1355000,,1355,1355
20106,20106,NA,NA,NA,NA,190000,200000,195000,195000,195000,195000,195000,1365000,,1365000,1365000,,1365,1365
20422,20422,NA,NA,NA,NA,NA,385000,200000,200000,200000,195000,195000,1375000,,1375000,1375000,,1375,1375
20248,20248,NA,NA,NA,NA,165000,230000,195000,200000,200000,200000,195000,1385000,,1385000,1385000,,1385,1385
20138,20138,NA,NA,NA,105000,185000,185000,185000,185000,185000,180000,180000,1390000,,1390000,1390000,,1390,1390
21109,21109,NA,NA,NA,NA,200000,195000,195000,200000,200000,200000,200000,1390000,,1390000,1390000,,1390,1390
20224,20224,NA,NA,NA,140000,190000,180000,180000,180000,180000,180000,180000,1410000,,1410000,1410000,,1410,1410
31089,31089,NA,NA,NA,NA,100000,280000,200000,210000,210000,210000,210000,1420000,,1420000,1420000,,1420,1420
20331,20331,NA,NA,NA,NA,210000,205000,205000,205000,205000,205000,205000,1440000,,1440000,1440000,,1440,1440
20493,20493,NA,NA,NA,130000,190000,190000,190000,190000,190000,185000,175000,1440000,,1440000,1440000,,1440,1440
31070,31070,NA,NA,NA,165000,185000,185000,185000,185000,185000,185000,180000,1455000,,1455000,1455000,,1455,1455
20346,20346,NA,NA,NA,NA,210000,210000,210000,210000,210000,210000,200000,1460000,,1460000,1460000,,1460,1460
20332,20332,NA,NA,NA,130000,195000,195000,195000,195000,195000,185000,180000,1470000,,1470000,1470000,,1470,1470
20536,20536,NA,NA,NA,110000,200000,200000,200000,190000,190000,190000,190000,1470000,,1470000,1470000,,1470,1470
20556,20556,NA,NA,NA,NA,205000,215000,210000,210000,210000,210000,210000,1470000,,1470000,1470000,,1470,1470
